,Villanova,94.9
,Purdue,91.1
,West Virginia,88.6
,Wichita State,88.0
,Texas Tech,87.3
,Florida,86.4
,Butler,84.7
,Virginia Tech,83.4
,Arkansas,83.3
,Alabama,82.2
,St. Bonaventure,81.4
,Murray State,78.9,
,Stephen F. Austin,74.8
,Marshall,75.6
,Radford,71.6
,Cal State Fullerton,71.9
,Duke,92.6
,Kansas,90.9
,Michigan State,91.7
,TCU,84.8
,Seton Hall,85.1
,Auburn,84.0
,Clemson,84.2
,Rhode Island,83.1
,Oklahoma,82.1
,Syracuse,82.5
,NC State,81.7
,New Mexico State,79.8
,Bucknell,78.3
,Charleston,76.4
,Pennsylvania,75.6
,Iona,74.8
,Virginia,93.1
,Cincinnati,91.1
,Kentucky,88.2
,Tennessee,87.2
,Arizona,87.9
,Miami,83.9
,Texas,82.9
,Creighton,83.4
,Kansas State,81.5
,Nevada,81.8
,Loyola-Chicago,81.3
,Davidson,81.8
,Buffalo,79.1
,Georgia State,76.0
,Wright State,74.3
,UMBC,71.4
,North Carolina,90.6
,Gonzaga,89.5
,Xavier,88.9
,Michigan,88.5
,Houston,86.2
,Ohio State,85.6
,Texas A&M,83.6
,Florida State,83.6
,San Diego State,81.7
,Missouri,78.5
,Providence,81.3
,South Dakota State,78.1
,UNC Greensboro,78
,Montana,76.8
,Lipscomb,72.5
,Texas Southern,69.4
